uri|display_name
"http://vivo.ufl.edu/individual/n1105962364"|"Hillesheim,Patrick C"
"http://vivo.ufl.edu/individual/n1695345956"|"Moore,Brandon Christo"
"http://vivo.ufl.edu/individual/n2109520689"|"Durante,Michael A"
"http://vivo.ufl.edu/individual/n1579864065"|"Pavela,Gregory M"
"http://vivo.ufl.edu/individual/n826659924"|"Garner,Ronald A"
"http://vivo.ufl.edu/individual/n1285604959"|"Rodriguez,David W"
"http://vivo.ufl.edu/individual/n398714829"|"Son,Jung Eun"
"http://vivo.ufl.edu/individual/n1407325470"|"Debhaumik,Anales"
"http://vivo.ufl.edu/individual/n1769722847"|"Aponte,Jorge C Roman"
"http://vivo.ufl.edu/individual/n2005358560"|"Proefke,Kyle W"
"http://vivo.ufl.edu/individual/n2093150727"|"Li,Chaoran"
"http://vivo.ufl.edu/individual/n1582611028"|"Shure,Lauren Ann"
"http://vivo.ufl.edu/individual/n2105009621"|"Ohlson,Tiffany Marie"
"http://vivo.ufl.edu/individual/n621425822"|"Allegretti,Mary"
"http://vivo.ufl.edu/individual/n1976025154"|"Federico,Justin Reid"
"http://vivo.ufl.edu/individual/n747077095"|"Akins,Jeff"
"http://vivo.ufl.edu/individual/n575334920"|"Ghanimi,Ziad"
"http://vivo.ufl.edu/individual/n615829103"|"Clapper,Jacob R"
"http://vivo.ufl.edu/individual/n1701077268"|"Horacek,Brant A"
"http://vivo.ufl.edu/individual/n1978083711"|"Smith,Craig S"
"http://vivo.ufl.edu/individual/n1386946075"|"Rostant,Luke Victor"
"http://vivo.ufl.edu/individual/n1237888927"|"Hilber,Samantha A"
"http://vivo.ufl.edu/individual/n666069472"|"Mesa,Alexis"
"http://vivo.ufl.edu/individual/n378721380"|"Thompkins,Serleatha M"
"http://vivo.ufl.edu/individual/n313918660"|"Supekar,Sarang D"
"http://vivo.ufl.edu/individual/n1899373152"|"Snyder,James R"
"http://vivo.ufl.edu/individual/n477521597"|"Finkel,Robert J"
"http://vivo.ufl.edu/individual/n1125610884"|"Ketha,Siva Sankar"
"http://vivo.ufl.edu/individual/n1895194375"|"Smith,Haley E"
"http://vivo.ufl.edu/individual/n236211386"|"Kuchibhotla,Sudeep"
"http://vivo.ufl.edu/individual/n1031282924"|"Palma,Julio Leopoldo"
